condition,views,selection,scenes,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,clean_psnr_mean,clean_ssim_mean,clean_lpips_mean,psnr_drop_from_clean,ssim_drop_from_clean,lpips_increase_from_clean
blur_k15,5,quality,4,11.10358610005254,0.3036549856845179,0.2668945918427198,0.1238758399125695,0.6374942068010568,0.0692456106074262,11.006584535952436,0.268423711338255,0.6212188698351383,-0.097001564100104,0.0015291194955352,0.0162753369659185
blur_k15,5,quality_diverse,4,14.296357973124255,1.043891329780102,0.4124751584604382,0.0756611600787633,0.5834989938884974,0.0864629833367148,14.12370169037845,0.4142707789316773,0.5394933879375458,-0.1726562827458053,0.001795620471239,0.0440056059509516
blur_k15,5,random,4,14.025804352423169,1.3443323359673374,0.4071670229779556,0.1010857984126175,0.5730939911678433,0.092832584551133,13.697953825942562,0.3987493811990134,0.5392694963142276,-0.3278505264806064,-0.0084176417789422,0.0338244948536157
blur_k15,5,uniform,4,13.214990550896855,1.8323981383152657,0.3822309133131056,0.0978057113124973,0.5886458318680525,0.1056722043355072,13.373411282921484,0.3917849658988416,0.5610867199953645,0.1584207320246253,0.0095540525857359,0.027559111872688
clean,5,quality,4,11.006584535952436,0.318843736118443,0.268423711338255,0.1302545726277915,0.6212188698351383,0.0765566195267084,11.006584535952436,0.268423711338255,0.6212188698351383,0.0,0.0,0.0
clean,5,quality_diverse,4,14.12370169037845,1.1416866079326642,0.4142707789316773,0.1096982468916866,0.5394933879375458,0.0974169595437989,14.12370169037845,0.4142707789316773,0.5394933879375458,0.0,0.0,0.0
clean,5,random,4,13.697953825942562,1.2429083574988526,0.3987493811990134,0.1119665349847623,0.5392694963142276,0.0957100538997747,13.697953825942562,0.3987493811990134,0.5392694963142276,0.0,0.0,0.0
clean,5,uniform,4,13.373411282921484,1.1558123660216937,0.3917849658988416,0.1159750449045245,0.5610867199953645,0.1219925956330638,13.373411282921484,0.3917849658988416,0.5610867199953645,0.0,0.0,0.0
jpeg_q20,5,quality,4,10.576022507061246,0.1375200549417174,0.2329479112406261,0.1069189984239175,0.6390573710203171,0.0626025868076923,11.006584535952436,0.268423711338255,0.6212188698351383,0.43056202889119,0.0354758000976289,0.0178385011851788
jpeg_q20,5,quality_diverse,4,13.685839020325965,0.7629312631981193,0.3814903960563242,0.0927729187831349,0.5670780964195729,0.0865022164330203,14.12370169037845,0.4142707789316773,0.5394933879375458,0.4378626700524854,0.0327803828753531,0.027584708482027
jpeg_q20,5,random,4,13.76584453418752,1.3482975868321696,0.3891577441099798,0.1064569340582663,0.5496776340529322,0.0887097750583754,13.697953825942562,0.3987493811990134,0.5392694963142276,-0.0678907082449562,0.0095916370890335,0.0104081377387046
jpeg_q20,5,uniform,4,13.187755067072858,1.150434327381257,0.3768350345548242,0.1164781010518243,0.5824381425976753,0.123255435743373,13.373411282921484,0.3917849658988416,0.5610867199953645,0.1856562158486241,0.0149499313440173,0.0213514226023108
jpeg_q40,5,quality,4,11.1658266079088,0.8051930212688501,0.2678240423643728,0.1480320239977045,0.618494569323957,0.0790088187389572,11.006584535952436,0.268423711338255,0.6212188698351383,-0.1592420719563634,0.0005996689738821,-0.0027243005111813
jpeg_q40,5,quality_diverse,4,14.168661856817934,1.0259987069943102,0.4131555214524268,0.1160009095847664,0.5489217270165682,0.0970718591080396,14.12370169037845,0.4142707789316773,0.5394933879375458,-0.044960166439484,0.0011152574792504,0.0094283390790224
