scene,split,views,iteration,source,status,psnr,ssim,lpips,num_test_images,train_runtime_sec,todo
tandt/truck,5views_uniform,5,3000,existing_3dgs_sparse,evaluated,15.08865047908309,0.4537949725985527,0.4119772117584944,20,,
tandt/truck,5views_uniform,5,7000,3dgs_convergence,evaluated,14.314278515406153,0.4595844253897667,0.4128385242074728,20,127.21234879999975,
tandt/truck,5views_random,5,3000,existing_3dgs_sparse,evaluated,14.484479205284893,0.447403809428215,0.4267474293708801,20,,
tandt/truck,5views_random,5,7000,3dgs_convergence,evaluated,13.03402018889555,0.43723524957895277,0.4289338573813438,20,176.93273640000552,
tandt/truck,5views_quality_image_diverse,5,3000,existing_3dgs_sparse,evaluated,12.926962954021198,0.34892347529530526,0.4925569906830788,20,,
tandt/truck,5views_quality_image_diverse,5,7000,3dgs_convergence,evaluated,12.088302160426176,0.3426980830729008,0.49286147132515906,20,199.16432619999978,
tandt/truck,20views_uniform,20,3000,existing_3dgs_sparse,evaluated,20.442775643118612,0.7704723566770554,0.18330834694206716,20,,
tandt/truck,20views_uniform,20,7000,3dgs_convergence,evaluated,20.233156671363254,0.7759645313024521,0.17477101385593413,20,266.3666843000028,
db/playroom,5views_uniform,5,3000,existing_3dgs_sparse,evaluated,12.576972175125261,0.5219090193510055,0.595518808066845,20,,
db/playroom,5views_uniform,5,7000,3dgs_convergence,evaluated,6.997467959996672,0.20170500442618505,0.6983282655477524,20,181.42080010000063,
db/playroom,5views_random,5,3000,existing_3dgs_sparse,evaluated,13.96391914557108,0.5328305348753929,0.5326904729008675,20,,
db/playroom,5views_random,5,7000,3dgs_convergence,evaluated,9.76489520492194,0.3939479598775506,0.5916754886507988,20,145.76710769999772,
db/playroom,5views_quality_image_diverse,5,3000,existing_3dgs_sparse,evaluated,12.716293971941694,0.5789722204208374,0.5436984077095985,20,,
db/playroom,5views_quality_image_diverse,5,7000,3dgs_convergence,evaluated,7.191922087451959,0.26772641565912636,0.650191393494606,20,133.64762839999457,
db/playroom,20views_uniform,20,3000,existing_3dgs_sparse,evaluated,18.176840396495734,0.6485071927309036,0.4435386657714844,20,,
db/playroom,20views_uniform,20,7000,3dgs_convergence,evaluated,16.508168346548093,0.6488186463713645,0.41997086107730863,20,231.39984130000084,
