scene,method,condition,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,num_test_images,eval_psnr,eval_ssim,eval_lpips,metrics_summary,per_view_csv
tandt/train,3dgs_degraded,jpeg_q20,5views_uniform,success,0,datasets\degraded_scenes\jpeg_q20\tandt\train\5views_uniform,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_uniform,3000,4,27.247752900000705,5,19876,3000,0.006315239705145359,39.959938049316406,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,39837523,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_uniform\train_console.log,20,13.020258075130457,0.3105026178061962,0.5424762785434722,,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_uniform\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,jpeg_q20,5views_random,success,0,datasets\degraded_scenes\jpeg_q20\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_random,3000,4,23.14187739999943,5,22172,3000,0.005612103268504143,40.62086486816406,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_random\point_cloud\iteration_3000\point_cloud.ply,47534699,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_random\train_console.log,20,11.75526553188258,0.28588250316679475,0.5486639603972435,,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_random\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,jpeg_q20,5views_quality,success,0,datasets\degraded_scenes\jpeg_q20\tandt\train\5views_quality,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality,3000,4,24.843883200001073,5,10707,3000,0.009582492522895336,36.67534255981445,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality\point_cloud\iteration_3000\point_cloud.ply,45401651,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality\train_console.log,20,10.49734404091353,0.2066186934709549,0.6321162268519401,,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,jpeg_q20,5views_quality_diverse,success,0,datasets\degraded_scenes\jpeg_q20\tandt\train\5views_quality_diverse,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality_diverse,3000,4,43.45547129999977,5,19357,3000,0.006225211545825005,38.584468841552734,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,46811283,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality_diverse\train_console.log,20,12.683622579227173,0.29492922835052016,0.5527010858058929,,results\method_outputs\tandt\train\3dgs_degraded\jpeg_q20\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,blur_k15,5views_uniform,success,0,datasets\degraded_scenes\blur_k15\tandt\train\5views_uniform,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_uniform,3000,4,50.62656160000006,5,19876,3000,0.003928285092115402,44.04216766357422,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,22283586,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_uniform\train_console.log,20,13.296865674834857,0.3299577720463276,0.5632260046899319,,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_uniform\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,blur_k15,5views_random,success,0,datasets\degraded_scenes\blur_k15\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_random,3000,4,44.501592900000105,5,22172,3000,0.003857392119243741,44.337013244628906,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_random\point_cloud\iteration_3000\point_cloud.ply,26456683,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_random\train_console.log,20,12.158060898293707,0.301226294413209,0.5735950648784638,,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_random\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,blur_k15,5views_quality,success,0,datasets\degraded_scenes\blur_k15\tandt\train\5views_quality,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality,3000,4,54.31330170000001,5,10707,3000,0.004598993342369795,43.1314697265625,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality\point_cloud\iteration_3000\point_cloud.ply,23896826,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality\train_console.log,20,10.979880579305762,0.23124120831489564,0.6349966451525688,,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,blur_k15,5views_quality_diverse,success,0,datasets\degraded_scenes\blur_k15\tandt\train\5views_quality_diverse,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality_diverse,3000,4,66.5224918999993,5,19357,3000,0.0037884043995290995,43.170284271240234,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,27696931,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality_diverse\train_console.log,20,13.014851574927235,0.3254385910928249,0.5753535747528076,,results\method_outputs\tandt\train\3dgs_degraded\blur_k15\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,lowres_50,5views_uniform,success,0,datasets\degraded_scenes\lowres_50\tandt\train\5views_uniform,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_uniform,3000,4,87.33874169999945,5,19876,3000,0.004840424750000238,41.516475677490234,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,33742675,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_uniform\train_console.log,20,13.32341887174068,0.3333140842616558,0.5285343630239367,,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_uniform\test\ours_3000\metrics_per_view.csv
tandt/train,3dgs_degraded,lowres_50,5views_random,success,0,datasets\degraded_scenes\lowres_50\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_random,3000,4,77.08472039999833,5,22172,3000,0.004740078467875719,42.115753173828125,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_random\point_cloud\iteration_3000\point_cloud.ply,40252179,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_random\train_console.log,20,11.894950502913222,0.3047751221805811,0.5415111109614372,,results\method_outputs\tandt\train\3dgs_degraded\lowres_50\5views_random\test\ours_3000\metrics_per_view.csv
