scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path
tandt/train,3dgs_sparse,2views_random_seed0,success,0,datasets\sparse_scenes\tandt\train\2views_random_seed0,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed0,3000,4,19.671564600001147,2,6793,3000,0.0017616430064663292,50.46592483520508,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,20409202,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed0\train_console.log
tandt/train,3dgs_sparse,3views_random_seed0,success,0,datasets\sparse_scenes\tandt\train\3views_random_seed0,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed0,3000,4,25.04440159999649,3,10059,3000,0.0027318001724779607,47.37063293457032,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,48837195,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed0\train_console.log
tandt/train,3dgs_sparse,5views_random_seed0,success,0,datasets\sparse_scenes\tandt\train\5views_random_seed0,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed0,3000,4,28.527149899993674,5,14593,3000,0.007259899750351906,37.054161071777344,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,39335819,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed0\train_console.log
tandt/train,3dgs_sparse,8views_random_seed0,success,0,datasets\sparse_scenes\tandt\train\8views_random_seed0,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed0,3000,4,34.329349400002684,8,31213,3000,0.009515244886279106,36.21639709472657,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,45233755,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed0\train_console.log
tandt/train,3dgs_sparse,12views_random_seed0,success,0,datasets\sparse_scenes\tandt\train\12views_random_seed0,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed0,3000,4,45.13773080000101,12,38488,3000,0.010057421121746303,35.88489303588867,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,54338331,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed0\train_console.log
tandt/train,3dgs_sparse,20views_random_seed0,success,0,datasets\sparse_scenes\tandt\train\20views_random_seed0,results\method_outputs\tandt\train\3dgs_sparse\20views_random_seed0,3000,4,62.036082800004806,20,58926,3000,0.016001120023429394,32.049263381958006,results\method_outputs\tandt\train\3dgs_sparse\20views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,58780755,results\method_outputs\tandt\train\3dgs_sparse\20views_random_seed0\train_console.log
tandt/train,3dgs_sparse,2views_random_seed1,success,0,datasets\sparse_scenes\tandt\train\2views_random_seed1,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed1,3000,4,30.367653599998448,2,10554,3000,0.0017654346767812968,51.679334259033205,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,28579563,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed1\train_console.log
tandt/train,3dgs_sparse,3views_random_seed1,success,0,datasets\sparse_scenes\tandt\train\3views_random_seed1,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed1,3000,4,44.8776874000032,3,10938,3000,0.002874217135831714,46.31532135009766,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,40722883,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed1\train_console.log
tandt/train,3dgs_sparse,5views_random_seed1,success,0,datasets\sparse_scenes\tandt\train\5views_random_seed1,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed1,3000,4,44.24837029999617,5,20559,3000,0.005701898597180843,40.426841735839844,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,37116467,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed1\train_console.log
tandt/train,3dgs_sparse,8views_random_seed1,success,0,datasets\sparse_scenes\tandt\train\8views_random_seed1,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed1,3000,4,50.9009509000025,8,30356,3000,0.008386971103027463,39.17257461547852,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,43851651,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed1\train_console.log
tandt/train,3dgs_sparse,12views_random_seed1,success,0,datasets\sparse_scenes\tandt\train\12views_random_seed1,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed1,3000,4,63.83273389999522,12,39497,3000,0.007862271927297116,38.06968994140625,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,53694275,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed1\train_console.log
