scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path
tandt/train,3dgs_sparse,2views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\train\2views_quality_image_diverse,results\method_outputs\tandt\train\3dgs_sparse\2views_quality_image_diverse,3000,4,25.414746900001774,2,8430,3000,0.0019495873246341945,50.42743072509766,results\method_outputs\tandt\train\3dgs_sparse\2views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,27996515,results\method_outputs\tandt\train\3dgs_sparse\2views_quality_image_diverse\train_console.log
tandt/train,3dgs_sparse,3views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\train\3views_quality_image_diverse,results\method_outputs\tandt\train\3dgs_sparse\3views_quality_image_diverse,3000,4,38.44353140000021,3,9913,3000,0.0023672743234783413,48.84315490722656,results\method_outputs\tandt\train\3dgs_sparse\3views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,36412891,results\method_outputs\tandt\train\3dgs_sparse\3views_quality_image_diverse\train_console.log
tandt/train,3dgs_sparse,5views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\train\5views_quality_image_diverse,results\method_outputs\tandt\train\3dgs_sparse\5views_quality_image_diverse,3000,4,83.93127029999596,5,13855,3000,0.004693443421274424,42.56938934326172,results\method_outputs\tandt\train\3dgs_sparse\5views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,51111107,results\method_outputs\tandt\train\3dgs_sparse\5views_quality_image_diverse\train_console.log
tandt/train,3dgs_sparse,8views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\train\8views_quality_image_diverse,results\method_outputs\tandt\train\3dgs_sparse\8views_quality_image_diverse,3000,4,94.26992400000017,8,18466,3000,0.012494293786585332,33.958352661132814,results\method_outputs\tandt\train\3dgs_sparse\8views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,61396163,results\method_outputs\tandt\train\3dgs_sparse\8views_quality_image_diverse\train_console.log
tandt/train,3dgs_sparse,12views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\train\12views_quality_image_diverse,results\method_outputs\tandt\train\3dgs_sparse\12views_quality_image_diverse,3000,4,105.56829350000044,12,26572,3000,0.01268091592937708,33.74115524291992,results\method_outputs\tandt\train\3dgs_sparse\12views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,76826227,results\method_outputs\tandt\train\3dgs_sparse\12views_quality_image_diverse\train_console.log
tandt/train,3dgs_sparse,20views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\train\20views_quality_image_diverse,results\method_outputs\tandt\train\3dgs_sparse\20views_quality_image_diverse,3000,4,118.51419090000127,20,49815,3000,0.020986707508563997,29.412850189208985,results\method_outputs\tandt\train\3dgs_sparse\20views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,80951459,results\method_outputs\tandt\train\3dgs_sparse\20views_quality_image_diverse\train_console.log
tandt/truck,3dgs_sparse,2views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\truck\2views_quality_image_diverse,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality_image_diverse,3000,4,66.38578019999841,2,7215,3000,0.001655166270211339,49.733366394042974,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,23123810,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality_image_diverse\train_console.log
tandt/truck,3dgs_sparse,3views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\truck\3views_quality_image_diverse,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality_image_diverse,3000,4,84.27933949999715,3,10479,3000,0.002162805246189237,48.2632797241211,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,35140403,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality_image_diverse\train_console.log
tandt/truck,3dgs_sparse,5views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\truck\5views_quality_image_diverse,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality_image_diverse,3000,4,105.8684213000015,5,15337,3000,0.003990182653069496,43.65068817138672,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,49702467,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality_image_diverse\train_console.log
tandt/truck,3dgs_sparse,8views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\truck\8views_quality_image_diverse,results\method_outputs\tandt\truck\3dgs_sparse\8views_quality_image_diverse,3000,4,102.62125580000429,8,22882,3000,0.0072362106293439865,37.73973541259766,results\method_outputs\tandt\truck\3dgs_sparse\8views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,66721715,results\method_outputs\tandt\truck\3dgs_sparse\8views_quality_image_diverse\train_console.log
tandt/truck,3dgs_sparse,12views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\truck\12views_quality_image_diverse,results\method_outputs\tandt\truck\3dgs_sparse\12views_quality_image_diverse,3000,4,106.51968540000234,12,29588,3000,0.008205442503094674,36.54478454589844,results\method_outputs\tandt\truck\3dgs_sparse\12views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,74847931,results\method_outputs\tandt\truck\3dgs_sparse\12views_quality_image_diverse\train_console.log
tandt/truck,3dgs_sparse,20views_quality_image_diverse,success,0,datasets\sparse_scenes\tandt\truck\20views_quality_image_diverse,results\method_outputs\tandt\truck\3dgs_sparse\20views_quality_image_diverse,3000,4,112.80005230000097,20,38205,3000,0.013339436240494253,32.3203842163086,results\method_outputs\tandt\truck\3dgs_sparse\20views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,84129827,results\method_outputs\tandt\truck\3dgs_sparse\20views_quality_image_diverse\train_console.log
db/drjohnson,3dgs_sparse,2views_quality_image_diverse,success,0,datasets\sparse_scenes\db\drjohnson\2views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_image_diverse,3000,4,68.72905460000038,2,1667,3000,0.002231042832136154,49.83347930908204,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,36685443,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_image_diverse\train_console.log
db/drjohnson,3dgs_sparse,3views_quality_image_diverse,success,0,datasets\sparse_scenes\db\drjohnson\3views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse,3000,4,91.78700300000492,3,2379,3000,0.002919816877692938,47.231169891357425,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,54514907,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse\train_console.log
db/drjohnson,3dgs_sparse,5views_quality_image_diverse,success,0,datasets\sparse_scenes\db\drjohnson\5views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse,3000,4,114.87618949999887,5,6538,3000,0.005444346461445093,40.175880432128906,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,80740659,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse\train_console.log
db/drjohnson,3dgs_sparse,8views_quality_image_diverse,success,0,datasets\sparse_scenes\db\drjohnson\8views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_image_diverse,3000,4,115.5966647000023,8,9333,3000,0.008759382693096996,37.98311576843262,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,127732443,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_image_diverse\train_console.log
db/drjohnson,3dgs_sparse,12views_quality_image_diverse,success,0,datasets\sparse_scenes\db\drjohnson\12views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_image_diverse,3000,4,120.77468760000193,12,11652,3000,0.006650385446846485,38.69150314331055,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,150470075,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_image_diverse\train_console.log
db/drjohnson,3dgs_sparse,20views_quality_image_diverse,success,0,datasets\sparse_scenes\db\drjohnson\20views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_image_diverse,3000,4,130.29674420000083,20,17840,3000,0.009042074531316757,35.788308715820314,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,191236563,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_image_diverse\train_console.log
db/playroom,3dgs_sparse,2views_quality_image_diverse,success,0,datasets\sparse_scenes\db\playroom\2views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_image_diverse,3000,4,79.66433520000282,2,3775,3000,0.0021650317590683698,49.44509201049805,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,21502882,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_image_diverse\train_console.log
db/playroom,3dgs_sparse,3views_quality_image_diverse,success,0,datasets\sparse_scenes\db\playroom\3views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_image_diverse,3000,4,70.82568219999666,3,5801,3000,0.0024573422968387605,47.61220397949219,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,24541378,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_image_diverse\train_console.log
db/playroom,3dgs_sparse,5views_quality_image_diverse,success,0,datasets\sparse_scenes\db\playroom\5views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_image_diverse,3000,4,84.52623809999932,5,7662,3000,0.0036681760102510452,43.41465377807617,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,32088019,results\method_outputs\db\playroom\3dgs_sparse\5views_quality_image_diverse\train_console.log
db/playroom,3dgs_sparse,8views_quality_image_diverse,success,0,datasets\sparse_scenes\db\playroom\8views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_image_diverse,3000,4,89.37836619999871,8,10557,3000,0.004991859616711736,40.73649368286133,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_image_diverse\point_cloud\iteration_3000\point_cloud.ply,62527291,results\method_outputs\db\playroom\3dgs_sparse\8views_quality_image_diverse\train_console.log
