scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path
tandt/truck,3dgs_sparse,2views_uniform,success,0,datasets\sparse_scenes\tandt\truck\2views_uniform,results\method_outputs\tandt\truck\3dgs_sparse\2views_uniform,3000,4,22.604098600000043,2,7612,3000,0.0018325707176700236,49.44311599731446,results\method_outputs\tandt\truck\3dgs_sparse\2views_uniform\point_cloud\iteration_3000\point_cloud.ply,32140595,results\method_outputs\tandt\truck\3dgs_sparse\2views_uniform\train_console.log
tandt/truck,3dgs_sparse,2views_random,success,0,datasets\sparse_scenes\tandt\truck\2views_random,results\method_outputs\tandt\truck\3dgs_sparse\2views_random,3000,4,29.980833099999927,2,8843,3000,0.0020291802473366262,49.81566162109375,results\method_outputs\tandt\truck\3dgs_sparse\2views_random\point_cloud\iteration_3000\point_cloud.ply,26710883,results\method_outputs\tandt\truck\3dgs_sparse\2views_random\train_console.log
tandt/truck,3dgs_sparse,2views_quality,success,0,datasets\sparse_scenes\tandt\truck\2views_quality,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality,3000,4,44.29747580000003,2,5893,3000,0.0019232726888731124,43.97024002075196,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality\point_cloud\iteration_3000\point_cloud.ply,23953122,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality\train_console.log
tandt/truck,3dgs_sparse,2views_quality_diverse,success,0,datasets\sparse_scenes\tandt\truck\2views_quality_diverse,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality_diverse,3000,4,48.09721680000007,2,8943,3000,0.0018555908929556609,48.38917617797852,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,36545075,results\method_outputs\tandt\truck\3dgs_sparse\2views_quality_diverse\train_console.log
tandt/truck,3dgs_sparse,3views_uniform,success,0,datasets\sparse_scenes\tandt\truck\3views_uniform,results\method_outputs\tandt\truck\3dgs_sparse\3views_uniform,3000,4,43.87076569999999,3,10371,3000,0.0021334375720471143,49.059006500244145,results\method_outputs\tandt\truck\3dgs_sparse\3views_uniform\point_cloud\iteration_3000\point_cloud.ply,38848747,results\method_outputs\tandt\truck\3dgs_sparse\3views_uniform\train_console.log
tandt/truck,3dgs_sparse,3views_random,success,0,datasets\sparse_scenes\tandt\truck\3views_random,results\method_outputs\tandt\truck\3dgs_sparse\3views_random,3000,4,54.92585259999987,3,12878,3000,0.002424432500265539,48.13429946899414,results\method_outputs\tandt\truck\3dgs_sparse\3views_random\point_cloud\iteration_3000\point_cloud.ply,37585187,results\method_outputs\tandt\truck\3dgs_sparse\3views_random\train_console.log
tandt/truck,3dgs_sparse,3views_quality,success,0,datasets\sparse_scenes\tandt\truck\3views_quality,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality,3000,4,47.68040250000013,3,7059,3000,0.002876993315294385,43.34845428466797,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality\point_cloud\iteration_3000\point_cloud.ply,29709947,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality\train_console.log
tandt/truck,3dgs_sparse,3views_quality_diverse,success,0,datasets\sparse_scenes\tandt\truck\3views_quality_diverse,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality_diverse,3000,4,51.40638889999991,3,12113,3000,0.0020642925519496202,47.6223129272461,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,43585547,results\method_outputs\tandt\truck\3dgs_sparse\3views_quality_diverse\train_console.log
tandt/truck,3dgs_sparse,5views_uniform,success,0,datasets\sparse_scenes\tandt\truck\5views_uniform,results\method_outputs\tandt\truck\3dgs_sparse\5views_uniform,3000,4,60.00804130000006,5,18790,3000,0.0033975907135754824,45.2196159362793,results\method_outputs\tandt\truck\3dgs_sparse\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,52203299,results\method_outputs\tandt\truck\3dgs_sparse\5views_uniform\train_console.log
tandt/truck,3dgs_sparse,5views_random,success,0,datasets\sparse_scenes\tandt\truck\5views_random,results\method_outputs\tandt\truck\3dgs_sparse\5views_random,3000,4,50.02737030000026,5,19208,3000,0.0038211268838495016,44.114227294921875,results\method_outputs\tandt\truck\3dgs_sparse\5views_random\point_cloud\iteration_3000\point_cloud.ply,40814891,results\method_outputs\tandt\truck\3dgs_sparse\5views_random\train_console.log
tandt/truck,3dgs_sparse,5views_quality,success,0,datasets\sparse_scenes\tandt\truck\5views_quality,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality,3000,4,48.15660049999997,5,10313,3000,0.0043481322936713696,41.031734466552734,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality\point_cloud\iteration_3000\point_cloud.ply,34344075,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality\train_console.log
tandt/truck,3dgs_sparse,5views_quality_diverse,success,0,datasets\sparse_scenes\tandt\truck\5views_quality_diverse,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality_diverse,3000,4,54.68747630000007,5,18766,3000,0.004484608303755522,42.96845245361328,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,56795515,results\method_outputs\tandt\truck\3dgs_sparse\5views_quality_diverse\train_console.log
tandt/truck,3dgs_sparse,8views_uniform,success,0,datasets\sparse_scenes\tandt\truck\8views_uniform,results\method_outputs\tandt\truck\3dgs_sparse\8views_uniform,3000,4,56.63098420000006,8,26069,3000,0.007113894633948803,38.85048751831055,results\method_outputs\tandt\truck\3dgs_sparse\8views_uniform\point_cloud\iteration_3000\point_cloud.ply,61090131,results\method_outputs\tandt\truck\3dgs_sparse\8views_uniform\train_console.log
tandt/truck,3dgs_sparse,8views_random,success,0,datasets\sparse_scenes\tandt\truck\8views_random,results\method_outputs\tandt\truck\3dgs_sparse\8views_random,3000,4,62.12852479999992,8,30231,3000,0.006801556516438723,39.459468841552734,results\method_outputs\tandt\truck\3dgs_sparse\8views_random\point_cloud\iteration_3000\point_cloud.ply,51735571,results\method_outputs\tandt\truck\3dgs_sparse\8views_random\train_console.log
