scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,views,selection
tandt/train,3dgs_sparse,2views_quality,success,0,datasets\sparse_scenes\tandt\train\2views_quality,results\method_outputs\tandt\train\3dgs_sparse\2views_quality,3000,4,53.45578549999482,22,4399,3000,0.0304851844906806,25.998090744018555,results\method_outputs\tandt\train\3dgs_sparse\2views_quality\point_cloud\iteration_3000\point_cloud.ply,42065059,results\method_outputs\tandt\train\3dgs_sparse\2views_quality\train_console.log,2,quality
tandt/train,3dgs_sparse,3views_quality,success,0,datasets\sparse_scenes\tandt\train\3views_quality,results\method_outputs\tandt\train\3dgs_sparse\3views_quality,3000,4,60.61125910000556,23,4702,3000,0.0235198255628347,28.817620849609376,results\method_outputs\tandt\train\3dgs_sparse\3views_quality\point_cloud\iteration_3000\point_cloud.ply,42134747,results\method_outputs\tandt\train\3dgs_sparse\3views_quality\train_console.log,3,quality
tandt/train,3dgs_sparse,5views_quality,success,0,datasets\sparse_scenes\tandt\train\5views_quality,results\method_outputs\tandt\train\3dgs_sparse\5views_quality,3000,4,84.40573619999486,5,10707,3000,0.0081834243610501,37.84413528442383,results\method_outputs\tandt\train\3dgs_sparse\5views_quality\point_cloud\iteration_3000\point_cloud.ply,45420499,results\method_outputs\tandt\train\3dgs_sparse\5views_quality\train_console.log,5,quality
tandt/train,3dgs_sparse,8views_quality,success,0,datasets\sparse_scenes\tandt\train\8views_quality,results\method_outputs\tandt\train\3dgs_sparse\8views_quality,3000,4,72.40106009999727,28,14520,3000,0.0286760129034519,26.59758110046387,results\method_outputs\tandt\train\3dgs_sparse\8views_quality\point_cloud\iteration_3000\point_cloud.ply,51125987,results\method_outputs\tandt\train\3dgs_sparse\8views_quality\train_console.log,8,quality
tandt/train,3dgs_sparse,12views_quality,success,0,datasets\sparse_scenes\tandt\train\12views_quality,results\method_outputs\tandt\train\3dgs_sparse\12views_quality,3000,4,100.5274117000008,32,20939,3000,0.0346354719251394,25.230761718750003,results\method_outputs\tandt\train\3dgs_sparse\12views_quality\point_cloud\iteration_3000\point_cloud.ply,56562395,results\method_outputs\tandt\train\3dgs_sparse\12views_quality\train_console.log,12,quality
tandt/train,3dgs_sparse,20views_quality,success,0,datasets\sparse_scenes\tandt\train\20views_quality,results\method_outputs\tandt\train\3dgs_sparse\20views_quality,3000,4,97.21082939999906,40,36524,3000,0.0354101322591304,24.98217506408692,results\method_outputs\tandt\train\3dgs_sparse\20views_quality\point_cloud\iteration_3000\point_cloud.ply,67689907,results\method_outputs\tandt\train\3dgs_sparse\20views_quality\train_console.log,20,quality
tandt/train,3dgs_sparse,2views_random,success,0,datasets\sparse_scenes\tandt\train\2views_random,results\method_outputs\tandt\train\3dgs_sparse\2views_random,3000,4,55.62697240000125,22,9266,3000,0.0205100066959857,29.17457847595215,results\method_outputs\tandt\train\3dgs_sparse\2views_random\point_cloud\iteration_3000\point_cloud.ply,50501027,results\method_outputs\tandt\train\3dgs_sparse\2views_random\train_console.log,2,random
tandt/train,3dgs_sparse,3views_random,success,0,datasets\sparse_scenes\tandt\train\3views_random,results\method_outputs\tandt\train\3dgs_sparse\3views_random,3000,4,80.71903490000113,23,13356,3000,0.0232743982225656,28.59334526062012,results\method_outputs\tandt\train\3dgs_sparse\3views_random\point_cloud\iteration_3000\point_cloud.ply,52408643,results\method_outputs\tandt\train\3dgs_sparse\3views_random\train_console.log,3,random
tandt/train,3dgs_sparse,5views_random,success,0,datasets\sparse_scenes\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_sparse\5views_random,3000,4,79.34712650000438,5,22172,3000,0.0055752182379364,39.28121948242188,results\method_outputs\tandt\train\3dgs_sparse\5views_random\point_cloud\iteration_3000\point_cloud.ply,46612635,results\method_outputs\tandt\train\3dgs_sparse\5views_random\train_console.log,5,random
tandt/train,3dgs_sparse,8views_random,success,0,datasets\sparse_scenes\tandt\train\8views_random,results\method_outputs\tandt\train\3dgs_sparse\8views_random,3000,4,96.08059179999692,28,31535,3000,0.0235334251075983,28.48634872436524,results\method_outputs\tandt\train\3dgs_sparse\8views_random\point_cloud\iteration_3000\point_cloud.ply,57535547,results\method_outputs\tandt\train\3dgs_sparse\8views_random\train_console.log,8,random
