scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,views,selection
tandt/train,3dgs_sparse,2views_quality,success,0,datasets\sparse_scenes\tandt\train\2views_quality,results\method_outputs\tandt\train\3dgs_sparse\2views_quality,3000,4,52.98904259999836,2,4399,3000,0.0019862632732838,50.49516296386719,results\method_outputs\tandt\train\3dgs_sparse\2views_quality\point_cloud\iteration_3000\point_cloud.ply,25889259,results\method_outputs\tandt\train\3dgs_sparse\2views_quality\train_console.log,2,quality
tandt/train,3dgs_sparse,3views_quality,success,0,datasets\sparse_scenes\tandt\train\3views_quality,results\method_outputs\tandt\train\3dgs_sparse\3views_quality,3000,4,55.68363030000182,3,4702,3000,0.0027031796518713,47.05879974365234,results\method_outputs\tandt\train\3dgs_sparse\3views_quality\point_cloud\iteration_3000\point_cloud.ply,31735363,results\method_outputs\tandt\train\3dgs_sparse\3views_quality\train_console.log,3,quality
tandt/train,3dgs_sparse,5views_quality,success,0,datasets\sparse_scenes\tandt\train\5views_quality,results\method_outputs\tandt\train\3dgs_sparse\5views_quality,3000,4,81.28035010000167,5,10707,3000,0.0080414162948727,37.41425323486328,results\method_outputs\tandt\train\3dgs_sparse\5views_quality\point_cloud\iteration_3000\point_cloud.ply,46117627,results\method_outputs\tandt\train\3dgs_sparse\5views_quality\train_console.log,5,quality
tandt/train,3dgs_sparse,8views_quality,success,0,datasets\sparse_scenes\tandt\train\8views_quality,results\method_outputs\tandt\train\3dgs_sparse\8views_quality,3000,4,102.20204399999784,8,14520,3000,0.0075801718048751,38.46907424926758,results\method_outputs\tandt\train\3dgs_sparse\8views_quality\point_cloud\iteration_3000\point_cloud.ply,52200075,results\method_outputs\tandt\train\3dgs_sparse\8views_quality\train_console.log,8,quality
tandt/train,3dgs_sparse,12views_quality,success,0,datasets\sparse_scenes\tandt\train\12views_quality,results\method_outputs\tandt\train\3dgs_sparse\12views_quality,3000,4,130.2493400999956,12,20939,3000,0.0118767755106091,34.9069465637207,results\method_outputs\tandt\train\3dgs_sparse\12views_quality\point_cloud\iteration_3000\point_cloud.ply,64727299,results\method_outputs\tandt\train\3dgs_sparse\12views_quality\train_console.log,12,quality
tandt/train,3dgs_sparse,20views_quality,success,0,datasets\sparse_scenes\tandt\train\20views_quality,results\method_outputs\tandt\train\3dgs_sparse\20views_quality,3000,4,161.0922797999956,20,36524,3000,0.020954555645585,30.046518325805664,results\method_outputs\tandt\train\3dgs_sparse\20views_quality\point_cloud\iteration_3000\point_cloud.ply,82330835,results\method_outputs\tandt\train\3dgs_sparse\20views_quality\train_console.log,20,quality
tandt/train,3dgs_sparse,2views_quality_diverse,success,0,datasets\sparse_scenes\tandt\train\2views_quality_diverse,results\method_outputs\tandt\train\3dgs_sparse\2views_quality_diverse,3000,4,58.69741449999856,2,7981,3000,0.0024593113921582,47.95025100708008,results\method_outputs\tandt\train\3dgs_sparse\2views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,31075435,results\method_outputs\tandt\train\3dgs_sparse\2views_quality_diverse\train_console.log,2,quality_diverse
tandt/train,3dgs_sparse,3views_quality_diverse,success,0,datasets\sparse_scenes\tandt\train\3views_quality_diverse,results\method_outputs\tandt\train\3dgs_sparse\3views_quality_diverse,3000,4,80.41826560000482,3,11919,3000,0.0029257237445563,45.84180450439453,results\method_outputs\tandt\train\3dgs_sparse\3views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,38440787,results\method_outputs\tandt\train\3dgs_sparse\3views_quality_diverse\train_console.log,3,quality_diverse
tandt/train,3dgs_sparse,5views_quality_diverse,success,0,datasets\sparse_scenes\tandt\train\5views_quality_diverse,results\method_outputs\tandt\train\3dgs_sparse\5views_quality_diverse,3000,4,90.14244840000174,5,19357,3000,0.0059144445694983,38.32836532592773,results\method_outputs\tandt\train\3dgs_sparse\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,46215587,results\method_outputs\tandt\train\3dgs_sparse\5views_quality_diverse\train_console.log,5,quality_diverse
tandt/train,3dgs_sparse,8views_quality_diverse,success,0,datasets\sparse_scenes\tandt\train\8views_quality_diverse,results\method_outputs\tandt\train\3dgs_sparse\8views_quality_diverse,3000,4,96.14107189999775,8,31817,3000,0.0128263923339545,36.36448059082032,results\method_outputs\tandt\train\3dgs_sparse\8views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,52844131,results\method_outputs\tandt\train\3dgs_sparse\8views_quality_diverse\train_console.log,8,quality_diverse
tandt/train,3dgs_sparse,12views_quality_diverse,success,0,datasets\sparse_scenes\tandt\train\12views_quality_diverse,results\method_outputs\tandt\train\3dgs_sparse\12views_quality_diverse,3000,4,135.3372334999949,12,40131,3000,0.0100763441994786,35.16241683959961,results\method_outputs\tandt\train\3dgs_sparse\12views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,62218779,results\method_outputs\tandt\train\3dgs_sparse\12views_quality_diverse\train_console.log,12,quality_diverse
tandt/train,3dgs_sparse,20views_quality_diverse,success,0,datasets\sparse_scenes\tandt\train\20views_quality_diverse,results\method_outputs\tandt\train\3dgs_sparse\20views_quality_diverse,3000,4,161.7742916999996,20,56797,3000,0.0225520577281713,28.93409538269043,results\method_outputs\tandt\train\3dgs_sparse\20views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,75817859,results\method_outputs\tandt\train\3dgs_sparse\20views_quality_diverse\train_console.log,20,quality_diverse
tandt/train,3dgs_sparse,2views_random,success,0,datasets\sparse_scenes\tandt\train\2views_random,results\method_outputs\tandt\train\3dgs_sparse\2views_random,3000,4,65.27772980000009,2,9266,3000,0.0021881500957533,49.70680923461914,results\method_outputs\tandt\train\3dgs_sparse\2views_random\point_cloud\iteration_3000\point_cloud.ply,38660763,results\method_outputs\tandt\train\3dgs_sparse\2views_random\train_console.log,2,random
tandt/train,3dgs_sparse,3views_random,success,0,datasets\sparse_scenes\tandt\train\3views_random,results\method_outputs\tandt\train\3dgs_sparse\3views_random,3000,4,50.795324799997616,3,13356,3000,0.0028027296066284,46.25543670654297,results\method_outputs\tandt\train\3dgs_sparse\3views_random\point_cloud\iteration_3000\point_cloud.ply,47123267,results\method_outputs\tandt\train\3dgs_sparse\3views_random\train_console.log,3,random
tandt/train,3dgs_sparse,5views_random,success,0,datasets\sparse_scenes\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_sparse\5views_random,3000,4,63.98307909999858,5,22172,3000,0.0058206743560731,39.66898727416992,results\method_outputs\tandt\train\3dgs_sparse\5views_random\point_cloud\iteration_3000\point_cloud.ply,46633715,results\method_outputs\tandt\train\3dgs_sparse\5views_random\train_console.log,5,random
tandt/train,3dgs_sparse,8views_random,success,0,datasets\sparse_scenes\tandt\train\8views_random,results\method_outputs\tandt\train\3dgs_sparse\8views_random,3000,4,100.9824529999969,8,31535,3000,0.0117457509040832,36.03564910888672,results\method_outputs\tandt\train\3dgs_sparse\8views_random\point_cloud\iteration_3000\point_cloud.ply,49254579,results\method_outputs\tandt\train\3dgs_sparse\8views_random\train_console.log,8,random
tandt/train,3dgs_sparse,12views_random,success,0,datasets\sparse_scenes\tandt\train\12views_random,results\method_outputs\tandt\train\3dgs_sparse\12views_random,3000,4,120.24031000000105,12,44856,3000,0.0082803632132709,36.66175079345703,results\method_outputs\tandt\train\3dgs_sparse\12views_random\point_cloud\iteration_3000\point_cloud.ply,53787523,results\method_outputs\tandt\train\3dgs_sparse\12views_random\train_console.log,12,random
