scene,split,views,rank,filename,quality_score,quality_score_norm,diversity_score,combined_score
db/drjohnson,2views_quality_image_diverse,2,1,IMG_6548.jpg,0.9168694651421143,1.0,0.0,1.0
db/drjohnson,2views_quality_image_diverse,2,2,IMG_6580.jpg,0.8463335063025808,0.7113845881266306,0.5060361371438911,0.598442940086124
db/drjohnson,3views_quality_image_diverse,3,1,IMG_6548.jpg,0.9168694651421143,1.0,0.0,1.0
db/drjohnson,3views_quality_image_diverse,3,2,IMG_6580.jpg,0.8463335063025808,0.7113845881266306,0.5060361371438911,0.598442940086124
db/drjohnson,3views_quality_image_diverse,3,3,IMG_6538.jpg,0.8454614668308251,0.7078164218260469,0.4481525730437734,0.5650013049957965
db/drjohnson,5views_quality_image_diverse,5,1,IMG_6548.jpg,0.9168694651421143,1.0,0.0,1.0
db/drjohnson,5views_quality_image_diverse,5,2,IMG_6580.jpg,0.8463335063025808,0.7113845881266306,0.5060361371438911,0.598442940086124
db/drjohnson,5views_quality_image_diverse,5,3,IMG_6538.jpg,0.8454614668308251,0.7078164218260469,0.4481525730437734,0.5650013049957965
db/drjohnson,5views_quality_image_diverse,5,4,IMG_6365.jpg,0.8053683077943249,0.5437652938765607,0.4641795665216978,0.49999314383138616
db/drjohnson,5views_quality_image_diverse,5,5,IMG_6302.jpg,0.807338369590481,0.5518262915020002,0.4480095472911655,0.49472708218604117
db/drjohnson,8views_quality_image_diverse,8,1,IMG_6548.jpg,0.9168694651421143,1.0,0.0,1.0
db/drjohnson,8views_quality_image_diverse,8,2,IMG_6580.jpg,0.8463335063025808,0.7113845881266306,0.5060361371438911,0.598442940086124
db/drjohnson,8views_quality_image_diverse,8,3,IMG_6538.jpg,0.8454614668308251,0.7078164218260469,0.4481525730437734,0.5650013049957965
db/drjohnson,8views_quality_image_diverse,8,4,IMG_6365.jpg,0.8053683077943249,0.5437652938765607,0.4641795665216978,0.49999314383138616
db/drjohnson,8views_quality_image_diverse,8,5,IMG_6302.jpg,0.807338369590481,0.5518262915020002,0.4480095472911655,0.49472708218604117
db/drjohnson,8views_quality_image_diverse,8,6,IMG_6544.jpg,0.8452719820277935,0.7070410976457218,0.29993009500724166,0.4831300461945577
db/drjohnson,8views_quality_image_diverse,8,7,IMG_6571.jpg,0.7985315339922211,0.5157909341422839,0.4283186870060873,0.4676811982173758
db/drjohnson,8views_quality_image_diverse,8,8,IMG_6406.jpg,0.7864915340114594,0.4665262808991316,0.4217046147920721,0.44187436454024887
db/drjohnson,12views_quality_image_diverse,12,1,IMG_6548.jpg,0.9168694651421143,1.0,0.0,1.0
db/drjohnson,12views_quality_image_diverse,12,2,IMG_6580.jpg,0.8463335063025808,0.7113845881266306,0.5060361371438911,0.598442940086124
db/drjohnson,12views_quality_image_diverse,12,3,IMG_6538.jpg,0.8454614668308251,0.7078164218260469,0.4481525730437734,0.5650013049957965
db/drjohnson,12views_quality_image_diverse,12,4,IMG_6365.jpg,0.8053683077943249,0.5437652938765607,0.4641795665216978,0.49999314383138616
db/drjohnson,12views_quality_image_diverse,12,5,IMG_6302.jpg,0.807338369590481,0.5518262915020002,0.4480095472911655,0.49472708218604117
