scene,method,split,views,selection,status,num_images,image_size,niter,device,model_load_sec,image_load_sec,pair_count,inference_sec,alignment_sec,loss,peak_gpu_memory_mb,camera_center_rmse,camera_center_mae,camera_center_max_error,reference_trajectory_extent,normalized_camera_center_rmse,alignment_scale,focal_mean,output_dir,error
tandt/train,DUSt3R,5views_uniform,5,uniform,success,5,512,100,cuda,5.816176600001199,0.0818236999984947,20,5.074960200003261,2.850034399998549,0.0052938079461455345,2713.0146484375,0.07002865538251915,0.06441052734956675,0.09787648309382448,9.789046034247507,0.0071537773075660395,34.557728805254314,307.1754455566406,results\method_outputs\tandt\train\dust3r_pose\5views_uniform,
tandt/train,DUSt3R,5views_random,5,random,success,5,512,100,cuda,5.816176600001199,0.08640939999895636,20,4.674032900002203,2.6644422999997914,0.00611457834020257,2713.6708984375,0.0832171244192899,0.07842464066776733,0.11556492905165291,10.708154197514272,0.007771378977583964,44.87071155817814,312.8182373046875,results\method_outputs\tandt\train\dust3r_pose\5views_random,
tandt/train,DUSt3R,5views_quality,5,quality,success,5,512,100,cuda,5.816176600001199,0.08028859999831184,20,4.638186299998779,2.6489930000025197,0.0056436313316226006,2713.6708984375,0.038762667813161567,0.03325771410687001,0.06301841220523106,6.219639385430615,0.006232301490655932,29.925050818456135,307.33795166015625,results\method_outputs\tandt\train\dust3r_pose\5views_quality,
tandt/train,DUSt3R,5views_quality_diverse,5,quality_diverse,success,5,512,100,cuda,5.816176600001199,0.08844950000275276,20,4.715714299996762,2.8353212000001804,0.008146241307258606,2713.6708984375,0.31585900839484665,0.2754623628559253,0.463442705266999,12.431671275801916,0.02540760621700656,46.88150239680169,316.7052307128906,results\method_outputs\tandt\train\dust3r_pose\5views_quality_diverse,
tandt/truck,DUSt3R,5views_uniform,5,uniform,success,5,512,100,cuda,5.816176600001199,0.08499170000141021,20,5.117376800000784,2.869967499998893,0.005109970457851887,2713.6708984375,0.09688780410936008,0.09099417805120998,0.13817607369214674,11.343843183422566,0.008541003480279771,30.013191434298815,312.4671936035156,results\method_outputs\tandt\truck\dust3r_pose\5views_uniform,
tandt/truck,DUSt3R,5views_random,5,random,success,5,512,100,cuda,5.816176600001199,0.10177639999892563,20,5.187699399997655,3.7176012999989325,0.0038592908531427383,2713.6708984375,0.05059597093663939,0.04930603002161849,0.0650137033033182,8.177639659852705,0.006187111812352798,21.270507203177793,317.96240234375,results\method_outputs\tandt\truck\dust3r_pose\5views_random,
tandt/truck,DUSt3R,5views_quality,5,quality,success,5,512,100,cuda,5.816176600001199,0.08882330000051297,20,7.84777209999811,3.029194800001278,0.0075676338747143745,2713.6708984375,0.014768237035113757,0.0126258741734623,0.02198443079363944,2.844025344651851,0.005192723427336967,27.407795402861456,323.2264404296875,results\method_outputs\tandt\truck\dust3r_pose\5views_quality,
tandt/truck,DUSt3R,5views_quality_diverse,5,quality_diverse,success,5,512,100,cuda,5.816176600001199,0.13925129999915953,20,6.124111000000994,3.625180299997737,0.005617707967758179,2713.6708984375,0.060648427019171613,0.05713036863279876,0.09407623493975001,10.290523655418035,0.0058936191247410214,36.01805302940257,321.3608703613281,results\method_outputs\tandt\truck\dust3r_pose\5views_quality_diverse,
db/drjohnson,DUSt3R,5views_uniform,5,uniform,success,5,512,100,cuda,5.816176600001199,0.23074780000024475,20,5.842740199997934,5.045963799999299,0.008645179681479931,2814.49365234375,2.70606078575883,2.5584082747473085,3.5042611390983467,7.156868424436311,0.3781068234424003,4.763879640383484,439.084716796875,results\method_outputs\db\drjohnson\dust3r_pose\5views_uniform,
db/drjohnson,DUSt3R,5views_random,5,random,success,5,512,100,cuda,5.816176600001199,0.2650659999999334,20,6.334031900001719,6.22547730000224,0.003320439485833049,2814.49365234375,0.15929739007241908,0.14900017928090642,0.23678776748881786,10.31112977037658,0.01544907237324017,14.846338708304483,404.95257568359375,results\method_outputs\db\drjohnson\dust3r_pose\5views_random,
db/drjohnson,DUSt3R,5views_quality,5,quality,success,5,512,100,cuda,5.816176600001199,0.3560290999994322,20,8.355922000002465,4.909724299999652,0.0019646931905299425,2814.49365234375,2.043573711179223,1.9875432592027775,2.779108050983688,5.967895720790298,0.3424278517568673,14.554909993391334,426.36767578125,results\method_outputs\db\drjohnson\dust3r_pose\5views_quality,
db/drjohnson,DUSt3R,5views_quality_diverse,5,quality_diverse,success,5,512,100,cuda,5.816176600001199,0.17811240000082762,20,6.41528720000133,5.696936699998332,0.002619912615045905,2814.49365234375,3.1208949760867126,2.555994763300684,4.792538126604172,12.145134496663374,0.2569666871078385,14.310787757157188,410.91259765625,results\method_outputs\db\drjohnson\dust3r_pose\5views_quality_diverse,
db/playroom,DUSt3R,5views_uniform,5,uniform,success,5,512,100,cuda,5.816176600001199,0.45845229999758885,20,8.708630400000402,5.247844599998643,0.0015476592816412449,2814.49365234375,1.5202898959258002,1.2562521553810608,2.4449710411186873,7.216133957674316,0.21067927852267498,14.300486543826459,458.73443603515625,results\method_outputs\db\playroom\dust3r_pose\5views_uniform,
db/playroom,DUSt3R,5views_random,5,random,success,5,512,100,cuda,5.816176600001199,0.2218033999997715,20,6.533853800003271,5.889873500000249,0.0012424197047948837,2814.49365234375,2.3498141326509567,2.067789168934083,3.409810909061364,7.182368561267393,0.32716423734126937,17.543654526747773,425.6949157714844,results\method_outputs\db\playroom\dust3r_pose\5views_random,
db/playroom,DUSt3R,5views_quality,5,quality,success,5,512,100,cuda,5.816176600001199,0.6483930999966105,20,8.057092600000033,4.7244847000001755,0.005978141911327839,2814.49365234375,0.2412836304217888,0.21209325153823905,0.39133915403929875,8.226231034407904,0.029331005829105743,30.042825131376997,376.9060974121094,results\method_outputs\db\playroom\dust3r_pose\5views_quality,
db/playroom,DUSt3R,5views_quality_diverse,5,quality_diverse,success,5,512,100,cuda,5.816176600001199,0.29006740000113496,20,6.076482599997689,5.814472599999135,0.007768722716718912,2814.49365234375,0.08408300395394207,0.08186349478906,0.10247698290406036,12.579788066103404,0.006683976193566099,31.259284983046438,421.40802001953125,results\method_outputs\db\playroom\dust3r_pose\5views_quality_diverse,
