method,selection,scenes,runs,camera_rmse_mean,camera_rmse_std,runtime_sec_mean,runtime_sec_std,peak_gpu_memory_mb_mean
DUSt3R,quality,4,4,0.09579597062599145,0.16479833693288098,11.34622597499947,2.9151848490690915,2764.082275390625
DUSt3R,quality_diverse,4,4,0.07373797216078799,0.12248493902987873,10.499846624999009,2.205112784111194,2764.082275390625
DUSt3R,random,4,4,0.08914295012611151,0.15873240006095604,10.475516900000912,2.6888478117994836,2764.082275390625
DUSt3R,uniform,4,4,0.15112022068823022,0.17900220594480212,10.403383349998876,3.0431641797452307,2763.918212890625
MASt3R,quality,4,4,0.0955526798455916,0.17864379471507932,13.399161499998627,3.4609459359254116,3126.2503662109375
MASt3R,quality_diverse,4,4,0.07781492415792815,0.08822208978802099,15.608301300000676,3.0901848595367745,3126.2073974609375
MASt3R,random,4,4,0.12183014923282225,0.1511943935069463,15.088216724999256,3.735121958087255,3126.119873046875
MASt3R,uniform,4,4,0.16277672461071016,0.12031637274666958,13.984885374998157,2.9284691636424056,3124.4329833984375
VGGT,quality,4,4,0.10291320912215979,0.19303510131843632,0.6132671249997657,0.06871963164450283,7582.116455078125
VGGT,quality_diverse,4,4,0.0654185844400493,0.11164904675929477,0.6004336999985753,0.05932567184761691,7582.116455078125
VGGT,random,4,4,0.04748108816717595,0.07413968215661025,0.6015423249991727,0.06824817361466015,7582.116455078125
VGGT,uniform,4,4,0.07762602261750796,0.11701919288043,0.7441162750010334,0.21205902085119632,7580.9036865234375
