scene,method,split,views,selection,status,num_images,image_size,niter1,niter2,device,model_load_sec,image_load_sec,pair_count,alignment_sec,peak_gpu_memory_mb,camera_center_rmse,camera_center_mae,camera_center_max_error,reference_trajectory_extent,normalized_camera_center_rmse,alignment_scale,focal_mean,output_dir,error
tandt/train,MASt3R,5views_uniform,5,uniform,success,5,512,80,40,cuda,5.7850551000010455,0.08709579999776906,20,10.731304599998111,3077.31640625,1.5916353598442403,1.3213671511826086,2.7763612728354308,9.789046034247507,0.16259351057047008,1.6848366169158764,299.0816650390625,results\method_outputs\tandt\train\mast3r_pose\5views_uniform,
tandt/train,MASt3R,5views_random,5,random,success,5,512,80,40,cuda,5.7850551000010455,0.08496269999886863,20,10.141407699997217,3084.06982421875,1.0267583526784079,0.8968124255455814,1.4851425503718536,10.708154197514272,0.09588565253540647,1.7722996758303422,315.34613037109375,results\method_outputs\tandt\train\mast3r_pose\5views_random,
tandt/train,MASt3R,5views_quality,5,quality,success,5,512,80,40,cuda,5.7850551000010455,0.08003090000056545,20,9.427811099998507,3084.17626953125,0.007314583334332455,0.006150860586321623,0.012275057718152429,6.219639385430615,0.0011760462112106894,1.6141023529115648,306.90374755859375,results\method_outputs\tandt\train\mast3r_pose\5views_quality,
tandt/train,MASt3R,5views_quality_diverse,5,quality_diverse,success,5,512,80,40,cuda,5.7850551000010455,0.09097470000051544,20,11.277361799999198,3084.1435546875,0.6043675692329111,0.5256242373695266,1.0459635615569174,12.431671275801916,0.048615150435107196,1.8166235043863368,310.9363098144531,results\method_outputs\tandt\train\mast3r_pose\5views_quality_diverse,
tandt/truck,MASt3R,5views_uniform,5,uniform,success,5,512,80,40,cuda,5.7850551000010455,0.0910234999973909,20,12.174106999998912,3084.162109375,0.1313602579547932,0.12219017042909494,0.17645633240919442,11.343843183422566,0.01157987252034282,1.8260558128553437,297.1956481933594,results\method_outputs\tandt\truck\mast3r_pose\5views_uniform,
tandt/truck,MASt3R,5views_random,5,random,success,5,512,80,40,cuda,5.7850551000010455,0.09316820000094594,20,14.244134100001247,3084.11474609375,0.07129979783305831,0.06701507558652689,0.1082617806904631,8.177639659852705,0.00871887253520077,1.6647572640238966,304.142578125,results\method_outputs\tandt\truck\mast3r_pose\5views_random,
tandt/truck,MASt3R,5views_quality,5,quality,success,5,512,80,40,cuda,5.7850551000010455,0.09528249999857508,20,11.454960999999457,3084.1611328125,0.008325782332178806,0.0063414291730467184,0.013119912304353993,2.844025344651851,0.002927464183058467,1.7488618651763093,302.7769470214844,results\method_outputs\tandt\truck\mast3r_pose\5views_quality,
tandt/truck,MASt3R,5views_quality_diverse,5,quality_diverse,success,5,512,80,40,cuda,5.7850551000010455,0.09196710000105668,20,15.542368100002932,3084.15234375,0.09233075086502926,0.08430318765053929,0.14280106708310142,10.290523655418035,0.008972405482632213,1.9447447121872337,300.22003173828125,results\method_outputs\tandt\truck\mast3r_pose\5views_quality_diverse,
db/drjohnson,MASt3R,5views_uniform,5,uniform,success,5,512,80,40,cuda,5.7850551000010455,0.18783789999724831,20,15.605367800002568,3168.16259765625,2.1896870778073985,1.8661761394791263,3.2383537360542736,7.156868424436311,0.305956033833312,1.1122763413516454,358.3196716308594,results\method_outputs\db\drjohnson\mast3r_pose\5views_uniform,
db/drjohnson,MASt3R,5views_random,5,random,success,5,512,80,40,cuda,5.7850551000010455,0.14552249999906053,20,18.723868000000948,3168.19970703125,0.4188416645595323,0.4033641276990263,0.5209993362830144,10.31112977037658,0.04062034654658754,1.5735194803613222,335.7364196777344,results\method_outputs\db\drjohnson\mast3r_pose\5views_random,
db/drjohnson,MASt3R,5views_quality,5,quality,success,5,512,80,40,cuda,5.7850551000010455,0.18145820000063395,20,15.417593800000759,3168.35791015625,2.1685301255276843,2.125232330943425,2.4437908942978934,5.967895720790298,0.36336595459823434,1.3479839498512616,375.7481689453125,results\method_outputs\db\drjohnson\mast3r_pose\5views_quality,
db/drjohnson,MASt3R,5views_quality_diverse,5,quality_diverse,success,5,512,80,40,cuda,5.7850551000010455,0.1655624999984866,20,18.496050199999445,3168.2470703125,2.517779155863669,2.0026907018565057,3.9343458318916125,12.145134496663374,0.20730763883721312,1.5270114221192048,394.1451416015625,results\method_outputs\db\drjohnson\mast3r_pose\5views_quality_diverse,
db/playroom,MASt3R,5views_uniform,5,uniform,success,5,512,80,40,cuda,5.7850551000010455,0.18297420000089915,20,16.87983069999973,3168.0908203125,1.2337964103848391,1.1395090446646567,1.6610210310052484,7.216133957674316,0.17097748151871597,2.520458607951677,366.3992004394531,results\method_outputs\db\playroom\mast3r_pose\5views_uniform,
db/playroom,MASt3R,5views_random,5,random,success,5,512,80,40,cuda,5.7850551000010455,0.15716109999993932,20,16.7626425999988,3168.09521484375,2.4570575824399175,2.3193537910329423,2.9668686204825856,7.182368561267393,0.3420957253140944,2.0012190339616724,371.3495788574219,results\method_outputs\db\playroom\mast3r_pose\5views_random,
db/playroom,MASt3R,5views_quality,5,quality,success,5,512,80,40,cuda,5.7850551000010455,0.15883149999717716,20,16.780676999998832,3168.30615234375,0.12126496434799405,0.10408542204745315,0.20815780519774546,8.226231034407904,0.014741254389863156,2.9457755211601655,365.6097412109375,results\method_outputs\db\playroom\mast3r_pose\5views_quality,
db/playroom,MASt3R,5views_quality_diverse,5,quality_diverse,success,5,512,80,40,cuda,5.7850551000010455,0.15783590000137337,20,16.611084899999696,3168.28662109375,0.5832556074000977,0.5519107596115365,0.8352794348606244,12.579788066103404,0.04636450187676027,2.848083307962619,407.36968994140625,results\method_outputs\db\playroom\mast3r_pose\5views_quality_diverse,
