scene,method,split,views,selection,status,num_images,device,dtype,load_images_sec,infer_sec,peak_gpu_memory_mb,camera_center_rmse,camera_center_mae,camera_center_max_error,reference_trajectory_extent,normalized_camera_center_rmse,alignment_scale,depth_mean,depth_median,depth_conf_mean,world_points_conf_mean,output_dir,error,model_load_sec
tandt/train,VGGT,5views_uniform,5,uniform,success,5,cuda,torch.bfloat16,0.06569569999919622,0.9804454000004625,7518.56103515625,0.0802815471911594,0.07015602942261671,0.12507084852549663,9.789046034247507,0.0082011614727615,5.297596192821346,0.6834712028503418,0.4351354241371155,1.70194673538208,1.818850040435791,results\method_outputs\tandt\train\vggt_pose\5views_uniform,,9.418890900000406
tandt/train,VGGT,5views_random,5,random,success,5,cuda,torch.bfloat16,0.1045111999992514,0.4351822999997239,7523.412109375,0.10723604337977842,0.10164845603151988,0.1404604753618006,10.708154197514272,0.010014428388103671,11.377886991771206,1.0403133630752563,0.22696582973003387,2.0748348236083984,2.0687761306762695,results\method_outputs\tandt\train\vggt_pose\5views_random,,9.418890900000406
tandt/train,VGGT,5views_quality,5,quality,success,5,cuda,torch.bfloat16,0.10784869999770308,0.4514932999991288,7523.412109375,0.014333213903913592,0.0133676361117461,0.019642005667133776,6.219639385430615,0.0023045088333398986,5.990964160976686,1.0405645370483398,0.6044036746025085,5.07721471786499,3.447627544403076,results\method_outputs\tandt\train\vggt_pose\5views_quality,,9.418890900000406
tandt/train,VGGT,5views_quality_diverse,5,quality_diverse,success,5,cuda,torch.bfloat16,0.09164940000118804,0.4572078999990481,7523.412109375,0.14229920591010073,0.13033601131514921,0.2318846330698577,12.431671275801916,0.01144650648759385,15.6433394821068,0.9058617949485779,0.19752545654773712,1.5474731922149658,1.4684656858444214,results\method_outputs\tandt\train\vggt_pose\5views_quality_diverse,,9.418890900000406
tandt/truck,VGGT,5views_uniform,5,uniform,success,5,cuda,torch.bfloat16,0.10066490000099293,0.4487308000025223,7523.412109375,0.039188965737005345,0.034535707580974746,0.05735163716355944,11.343843183422566,0.003454646287271894,6.069013626318557,1.3214188814163208,0.6356707215309143,3.425285816192627,4.335303783416748,results\method_outputs\tandt\truck\vggt_pose\5views_uniform,,9.418890900000406
tandt/truck,VGGT,5views_random,5,random,success,5,cuda,torch.bfloat16,0.09998669999913545,0.4455999999991036,7523.412109375,0.031161021787082188,0.030152358174349365,0.0384219249615426,8.177639659852705,0.0038105153911420276,5.357834604662551,0.9501619935035706,0.46600213646888733,4.850343227386475,4.828486442565918,results\method_outputs\tandt\truck\vggt_pose\5views_random,,9.418890900000406
tandt/truck,VGGT,5views_quality,5,quality,success,5,cuda,torch.bfloat16,0.1026415000014822,0.4458411999985401,7523.412109375,0.0026936020522862723,0.0020839812651957472,0.00437164261903283,2.844025344651851,0.0009471090183326082,4.9705758447781845,1.8539501428604126,0.7815281748771667,2.2069594860076904,2.7151780128479004,results\method_outputs\tandt\truck\vggt_pose\5views_quality,,9.418890900000406
tandt/truck,VGGT,5views_quality_diverse,5,quality_diverse,success,5,cuda,torch.bfloat16,0.09926599999744212,0.45022529999914696,7523.412109375,0.0519194114551416,0.04843279712206158,0.07577123831081928,10.290523655418035,0.005045361460085236,7.174559167979501,1.3352882862091064,0.5240134596824646,2.7863929271698,3.26080322265625,results\method_outputs\tandt\truck\vggt_pose\5views_quality_diverse,,9.418890900000406
db/drjohnson,VGGT,5views_uniform,5,uniform,success,5,cuda,torch.bfloat16,0.1476198000018485,0.5455726000000141,7640.82080078125,1.793090603052901,1.4538908274015294,3.486292033450145,7.156868424436311,0.2505412279106037,5.125584746952324,0.6726788878440857,0.65936678647995,1.746890902519226,1.1624387502670288,results\method_outputs\db\drjohnson\vggt_pose\5views_uniform,,9.418890900000406
db/drjohnson,VGGT,5views_random,5,random,success,5,cuda,torch.bfloat16,0.1568736999979592,0.4973184000009496,7640.82080078125,0.18289474773104047,0.16849445330769333,0.2562209523998761,10.31112977037658,0.017737605073741676,7.180315777702373,0.42722105979919434,0.3650171160697937,1.7897460460662842,1.312903881072998,results\method_outputs\db\drjohnson\vggt_pose\5views_random,,9.418890900000406
