scene,method,split,views,selection,status,num_images,device,dtype,load_images_sec,infer_sec,peak_gpu_memory_mb,camera_center_rmse,camera_center_mae,camera_center_max_error,reference_trajectory_extent,normalized_camera_center_rmse,alignment_scale,depth_mean,depth_median,depth_conf_mean,world_points_conf_mean,output_dir,error,model_load_sec
tandt/train,VGGT,2views_uniform,2,uniform,success,2,cuda,torch.bfloat16,0.025023300000611925,0.6832653000019491,7023.31640625,3.1432500083045447e-16,2.290918925893243e-16,4.443059973708341e-16,0.4261462863445809,7.375988267472358e-16,4.102770280242467,0.9840736389160156,0.6354331374168396,2.908653736114502,2.73749041557312,results\method_outputs\tandt\train\vggt_pose\2views_uniform,,10.426694799996767
tandt/train,VGGT,2views_random,2,random,success,2,cuda,torch.bfloat16,0.024076699999568518,0.29685719999906723,7024.8994140625,9.28879225241625e-16,8.991717940879145e-16,1.1322097734007351e-15,8.065460438661804,1.151675384568301e-16,6.691061804560158,1.137025237083435,0.31296736001968384,1.0341180562973022,1.074952244758606,results\method_outputs\tandt\train\vggt_pose\2views_random,,10.426694799996767
tandt/train,VGGT,2views_quality,2,quality,success,2,cuda,torch.bfloat16,0.02027029999953811,0.3098572000017157,7024.8994140625,1.8121011437500492e-16,1.6281593570986032e-16,2.423651445728339e-16,1.0916718288721043,1.6599321296238628e-16,6.4517259711407995,1.0601227283477783,0.6727617979049683,4.977980136871338,3.627898931503296,results\method_outputs\tandt\train\vggt_pose\2views_quality,,10.426694799996767
tandt/train,VGGT,2views_quality_diverse,2,quality_diverse,success,2,cuda,torch.bfloat16,0.02189630000066245,0.26009200000044075,7024.8994140625,9.99116391768351e-16,9.991129712971163e-16,1.0017273327978825e-15,11.114307065634202,8.989461833906419e-17,9.531991069058636,0.9293652176856995,0.3330305218696594,1.0843732357025146,1.162784218788147,results\method_outputs\tandt\train\vggt_pose\2views_quality_diverse,,10.426694799996767
tandt/train,VGGT,3views_uniform,3,uniform,success,3,cuda,torch.bfloat16,0.03576709999833838,0.3766880000002857,7197.830078125,0.01182082592229484,0.010127341341309033,0.014845765619549993,5.735203775808139,0.0020610995501426947,4.883248870638775,0.9574549198150635,0.6053465604782104,1.8417809009552002,1.9673138856887817,results\method_outputs\tandt\train\vggt_pose\3views_uniform,,10.426694799996767
tandt/train,VGGT,3views_random,3,random,success,3,cuda,torch.bfloat16,0.03935249999994994,0.2920403999996779,7197.830078125,0.1278019917089554,0.12678038177144382,0.1447582179302777,10.719437661267753,0.011922453000565393,14.321605001789795,0.9192596673965454,0.18808524310588837,1.9050410985946655,1.746097207069397,results\method_outputs\tandt\train\vggt_pose\3views_random,,10.426694799996767
tandt/train,VGGT,3views_quality,3,quality,success,3,cuda,torch.bfloat16,0.035816800002066884,0.29810640000141575,7197.830078125,0.007901111430037203,0.007350190805939741,0.011013739229504533,1.208222619800581,0.0065394500157109235,6.375893847530136,1.0868773460388184,0.6732105016708374,5.698023796081543,3.9834790229797363,results\method_outputs\tandt\train\vggt_pose\3views_quality,,10.426694799996767
tandt/train,VGGT,3views_quality_diverse,3,quality_diverse,success,3,cuda,torch.bfloat16,0.03237280000030296,0.30236580000200775,7197.830078125,0.09522437414621522,0.09280029080131304,0.12280009281926021,11.833125629747967,0.008047271458592924,16.346852901517227,0.9296950101852417,0.20104776322841644,1.607560157775879,1.7295663356781006,results\method_outputs\tandt\train\vggt_pose\3views_quality_diverse,,10.426694799996767
tandt/train,VGGT,5views_uniform,5,uniform,success,5,cuda,torch.bfloat16,0.06487070000002859,0.5107681000008597,7518.685546875,0.0802815471911594,0.07015602942261671,0.12507084852549663,9.789046034247507,0.0082011614727615,5.297596192821346,0.6834712028503418,0.4351354241371155,1.70194673538208,1.818850040435791,results\method_outputs\tandt\train\vggt_pose\5views_uniform,,10.426694799996767
tandt/train,VGGT,5views_random,5,random,success,5,cuda,torch.bfloat16,0.0718498999995063,0.46563590000005206,7518.685546875,0.10723604337977842,0.10164845603151988,0.1404604753618006,10.708154197514272,0.010014428388103671,11.377886991771206,1.0403133630752563,0.22696582973003387,2.0748348236083984,2.0687761306762695,results\method_outputs\tandt\train\vggt_pose\5views_random,,10.426694799996767
