views,selection,scenes,runs,camera_rmse_mean,camera_rmse_std,infer_sec_mean,peak_gpu_memory_mb_mean
2,quality,4,4,6.285845912693803e-16,8.98793690675369e-16,0.35714440000083414,7050.4697265625
2,quality_diverse,4,4,1.5293346355011516e-16,9.813924611516883e-17,0.4245467499995357,7050.4697265625
2,random,4,4,2.1442825944216883e-16,7.573879181468e-17,0.42237865000060987,7050.4697265625
2,uniform,4,4,3.2248382460081175e-16,2.7774552602206036e-16,0.43211157500081754,7050.073974609375
3,quality,4,4,0.08961360957009323,0.15372792542641045,0.3872277499995107,7215.2509765625
3,quality_diverse,4,4,0.105232658284194,0.1863280114089975,0.5220915250010876,7215.2509765625
3,random,4,4,0.03186646878330963,0.04402091759165413,0.5497191499998735,7215.2509765625
3,uniform,4,4,0.11613991534210187,0.13915152329251898,0.4153081500007829,7215.2509765625
5,quality,4,4,0.10291320912215979,0.19303510131843632,0.606111425000563,7579.848388671875
5,quality_diverse,4,4,0.0654185844400493,0.11164904675929477,0.5284724249986539,7579.848388671875
5,random,4,4,0.04748108816717595,0.07413968215661025,0.672071250000954,7579.848388671875
5,uniform,4,4,0.07762602261750796,0.11701919288043,0.5539267249996556,7579.848388671875
8,quality,4,4,0.010253356889932251,0.008653875384630961,1.0237503500002276,8181.365234375
8,quality_diverse,4,4,0.048955872514692876,0.07832930754294906,0.979207000000315,8181.365234375
8,random,4,4,0.0238412804992126,0.024702004008073854,0.9132160250001107,8181.365234375
8,uniform,4,4,0.0492913936892196,0.04974631426415554,1.1022614249986873,8181.365234375
12,quality,4,4,0.022608028835251176,0.03460564249350966,1.8052357750011652,8307.942626953125
12,quality_diverse,4,4,0.02591697033873405,0.03675532240301004,1.9168001500001992,8307.942626953125
12,random,4,4,0.021274617296361625,0.02062448570859253,1.6752450749991112,8307.942626953125
12,uniform,4,4,0.051442540216757926,0.08043239000273951,1.7299091250006313,8307.942626953125
20,quality,4,4,0.02874974447874545,0.046280399884417,5.288198750000447,8560.31884765625
20,quality_diverse,4,4,0.015659876372821402,0.01659594450824221,5.111319999998159,8560.31884765625
20,random,4,4,0.012697975915822625,0.00909384410815097,5.317255550001391,8560.31884765625
20,uniform,4,4,0.017147098319785677,0.01713939211295493,5.486639975000799,8560.31884765625
