scene,views,seed,split,status,selected_images,excluded_test_images,psnr,ssim,lpips,num_test_images,metrics_summary,todo
tandt/train,2,0,2views_random_seed0,evaluated,"[""00212.jpg"", ""00231.jpg""]",20,9.483777045307447,0.1450136460363865,0.6755210757255554,20,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed0,
tandt/train,3,0,3views_random_seed0,evaluated,"[""00023.jpg"", ""00143.jpg"", ""00280.jpg""]",20,10.649887984368048,0.2250816199928522,0.6211215376853942,20,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed0,
tandt/train,5,0,5views_random_seed0,evaluated,"[""00167.jpg"", ""00197.jpg"", ""00222.jpg"", ""00262.jpg"", ""00266.jpg""]",20,10.352682239102352,0.2359028734266758,0.6015837550163269,20,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed0,
tandt/train,8,0,8views_random_seed0,evaluated,"[""00053.jpg"", ""00077.jpg"", ""00082.jpg"", ""00120.jpg"", ""00138.jpg"", ""00156.jpg"", ""00277.jpg"", ""00292.jpg""]",20,14.37435325221249,0.43601647540926936,0.4480816349387169,20,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed0,
tandt/train,12,0,12views_random_seed0,evaluated,"[""00041.jpg"", ""00055.jpg"", ""00056.jpg"", ""00113.jpg"", ""00170.jpg"", ""00173.jpg"", ""00182.jpg"", ""00195.jpg"", ""00238.jpg"", ""00243.jpg"", ""00259.jpg"", ""00262.jpg""]",20,12.932203650502217,0.41079404056072233,0.45588633269071577,20,results\method_outputs\tandt\train\3dgs_sparse\12views_random_seed0,
tandt/train,20,0,20views_random_seed0,evaluated,"[""00001.jpg"", ""00009.jpg"", ""00035.jpg"", ""00036.jpg"", ""00051.jpg"", ""00052.jpg"", ""00079.jpg"", ""00105.jpg"", ""00122.jpg"", ""00132.jpg"", ""00134.jpg"", ""00144.jpg"", ""00178.jpg"", ""00183.jpg"", ""00219.jpg"", ""00246.jpg"", ""00271.jpg"", ""00286.jpg"", ""00298.jpg"", ""00301.jpg""]",20,15.810425332790595,0.5618775084614753,0.342152189463377,20,results\method_outputs\tandt\train\3dgs_sparse\20views_random_seed0,
tandt/train,2,1,2views_random_seed1,evaluated,"[""00036.jpg"", ""00074.jpg""]",20,10.6738337396359,0.23142672814428805,0.6075179852545262,20,results\method_outputs\tandt\train\3dgs_sparse\2views_random_seed1,
tandt/train,3,1,3views_random_seed1,evaluated,"[""00066.jpg"", ""00141.jpg"", ""00272.jpg""]",20,11.261900819477912,0.23191723152995108,0.6026907041668892,20,results\method_outputs\tandt\train\3dgs_sparse\3views_random_seed1,
tandt/train,5,1,5views_random_seed1,evaluated,"[""00053.jpg"", ""00116.jpg"", ""00209.jpg"", ""00247.jpg"", ""00259.jpg""]",20,11.527517568558796,0.26531599164009095,0.5643855094909668,20,results\method_outputs\tandt\train\3dgs_sparse\5views_random_seed1,
tandt/train,8,1,8views_random_seed1,evaluated,"[""00003.jpg"", ""00016.jpg"", ""00127.jpg"", ""00147.jpg"", ""00214.jpg"", ""00237.jpg"", ""00245.jpg"", ""00268.jpg""]",20,13.682042662336823,0.3953712683171034,0.4714182522147894,20,results\method_outputs\tandt\train\3dgs_sparse\8views_random_seed1,
