scene,split,views,rank,filename,quality_score,quality_score_norm,diversity_score,combined_score
tandt/train,2views_quality_image_diverse,2,1,00157.jpg,0.9479398799994754,1.0,0.0,1.0
tandt/train,2views_quality_image_diverse,2,2,00289.jpg,0.9146860920674762,0.859229207957076,0.4801272345185959,0.650723122565912
tandt/train,3views_quality_image_diverse,3,1,00157.jpg,0.9479398799994754,1.0,0.0,1.0
tandt/train,3views_quality_image_diverse,3,2,00289.jpg,0.9146860920674762,0.859229207957076,0.4801272345185959,0.650723122565912
tandt/train,3views_quality_image_diverse,3,3,00160.jpg,0.9409677996194703,0.9704856096608528,0.22561470006308973,0.5608066093820832
tandt/train,5views_quality_image_diverse,5,1,00157.jpg,0.9479398799994754,1.0,0.0,1.0
tandt/train,5views_quality_image_diverse,5,2,00289.jpg,0.9146860920674762,0.859229207957076,0.4801272345185959,0.650723122565912
tandt/train,5views_quality_image_diverse,5,3,00160.jpg,0.9409677996194703,0.9704856096608528,0.22561470006308973,0.5608066093820832
tandt/train,5views_quality_image_diverse,5,4,00171.jpg,0.8779767386336987,0.7038302269801195,0.4119765226430629,0.5433106895947384
tandt/train,5views_quality_image_diverse,5,5,00276.jpg,0.8517345688425836,0.5927411975446063,0.44223967596555613,0.5099653606761287
tandt/train,8views_quality_image_diverse,8,1,00157.jpg,0.9479398799994754,1.0,0.0,1.0
tandt/train,8views_quality_image_diverse,8,2,00289.jpg,0.9146860920674762,0.859229207957076,0.4801272345185959,0.650723122565912
tandt/train,8views_quality_image_diverse,8,3,00160.jpg,0.9409677996194703,0.9704856096608528,0.22561470006308973,0.5608066093820832
tandt/train,8views_quality_image_diverse,8,4,00171.jpg,0.8779767386336987,0.7038302269801195,0.4119765226430629,0.5433106895947384
tandt/train,8views_quality_image_diverse,8,5,00276.jpg,0.8517345688425836,0.5927411975446063,0.44223967596555613,0.5099653606761287
tandt/train,8views_quality_image_diverse,8,6,00170.jpg,0.8729862429015188,0.6827043318387187,0.3016121530617434,0.4731036335113823
tandt/train,8views_quality_image_diverse,8,7,00158.jpg,0.9290102415183246,0.9198665665539532,0.08844403145036431,0.4625841722469793
tandt/train,8views_quality_image_diverse,8,8,00092.jpg,0.8266568421507232,0.4865815186452248,0.4402613341450408,0.46110541717012365
tandt/train,12views_quality_image_diverse,12,1,00157.jpg,0.9479398799994754,1.0,0.0,1.0
tandt/train,12views_quality_image_diverse,12,2,00289.jpg,0.9146860920674762,0.859229207957076,0.4801272345185959,0.650723122565912
tandt/train,12views_quality_image_diverse,12,3,00160.jpg,0.9409677996194703,0.9704856096608528,0.22561470006308973,0.5608066093820832
tandt/train,12views_quality_image_diverse,12,4,00171.jpg,0.8779767386336987,0.7038302269801195,0.4119765226430629,0.5433106895947384
tandt/train,12views_quality_image_diverse,12,5,00276.jpg,0.8517345688425836,0.5927411975446063,0.44223967596555613,0.5099653606761287
tandt/train,12views_quality_image_diverse,12,6,00170.jpg,0.8729862429015188,0.6827043318387187,0.3016121530617434,0.4731036335113823
tandt/train,12views_quality_image_diverse,12,7,00158.jpg,0.9290102415183246,0.9198665665539532,0.08844403145036431,0.4625841722469793
